elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,ballots_number_lost,ballots_number_not_counted,glazyev_sergey_yurievich_number,glazyev_sergey_yurievich_percent,malyshkin_oleg_alexandrovich_number,malyshkin_oleg_alexandrovich_percent,mironov_sergey_mikhailovich_number,mironov_sergey_mikhailovich_percent,putin_vladimir_vladimirovich_number,putin_vladimir_vladimirovich_percent,khakamada_irina_mutsuovna_number,khakamada_irina_mutsuovna_percent,kharitonov_nikolai_mikhailovich_number,kharitonov_nikolai_mikhailovich_percent,against_all_number,against_all_percent
14.03.2004,Сахалинская область,Александровск-Сахалинская,13247,12810,0,6355,776,5679,776,6354,48,7082,213,127,56,86,17,0,0,261,3.66,165,2.31,52,0.73,4725,66.27,262,3.67,1298,18.20,319,4.47
14.03.2004,Сахалинская область,Анивская,11684,11161,34,7644,592,2891,626,7643,79,8190,190,156,87,34,5,0,0,226,2.73,187,2.26,52,0.63,5856,70.82,282,3.41,1222,14.78,365,4.41
14.03.2004,Сахалинская область,Долинская,22074,20889,0,10831,770,9288,770,10819,125,11464,380,161,69,219,0,0,0,465,4.01,362,3.12,82,0.71,8170,70.50,391,3.37,1548,13.36,446,3.85
14.03.2004,Сахалинская область,Корсаковская,31253,30253,38,15644,798,13773,836,15643,167,16312,532,142,274,390,8,0,0,698,4.24,414,2.51,108,0.66,11304,68.60,867,5.26,2247,13.64,674,4.09
14.03.2004,Сахалинская область,Курильская,5590,5440,54,3685,194,1507,248,3684,27,3905,83,40,13,43,6,0,0,85,2.16,100,2.54,22,0.56,3260,82.91,121,3.08,196,4.98,121,3.08
14.03.2004,Сахалинская область,Макаровская,7909,8000,0,3683,460,3857,460,3678,30,4108,128,81,33,47,2,0,0,143,3.46,113,2.73,36,0.87,3065,74.07,143,3.46,483,11.67,125,3.02
14.03.2004,Сахалинская область,Невельская,18337,18650,50,8913,653,9034,703,8913,92,9524,335,172,74,163,5,0,0,356,3.70,260,2.70,74,0.77,7099,73.82,346,3.60,1056,10.98,333,3.46
14.03.2004,Сахалинская область,Ногликская,10624,10300,582,5071,466,4181,1048,5068,61,6055,144,100,232,44,16,0,0,301,4.92,140,2.29,47,0.77,4535,74.15,238,3.89,576,9.42,218,3.56
14.03.2004,Сахалинская область,Охинская,24930,25280,22,12995,895,11368,915,12993,75,13833,478,386,267,92,15,0,0,519,3.73,368,2.65,102,0.73,10085,72.51,549,3.95,1713,12.32,497,3.57
14.03.2004,Сахалинская область,Поронайская,22408,23120,6,11386,906,10822,912,11383,106,12189,370,183,56,187,30,0,0,503,4.09,459,3.73,91,0.74,8107,65.94,407,3.31,2120,17.24,502,4.08
