elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,ballots_number_lost,ballots_number_not_counted,number_absentee_ballots_lost,number_absentee_ballots_not_taken,bogdanov_andrey_vladimirovich_number,bogdanov_andrey_vladimirovich_percent,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,zyuganov_gennady_andreevich_number,zyuganov_gennady_andreevich_percent,dmitry_anatolyevich_medvedev_number,dmitry_anatolyevich_medvedev_percent
02.03.2008,Республика Бурятия,Баргузинская,16812,17333,5,11998,1825,3505,1830,11998,167,13661,495,302,126,193,5,0,0,0,0,132,0.95,1077,7.79,2091,15.12,10361,74.93
02.03.2008,Республика Бурятия,Баунтовская,7104,7140,180,4759,729,1472,909,4759,72,5596,200,157,53,43,0,0,0,0,0,45,0.79,528,9.32,867,15.30,4156,73.32
02.03.2008,Республика Бурятия,Бичурская,19197,19340,0,10696,1960,6684,1960,10696,165,12491,537,371,100,166,13,0,0,0,0,92,0.73,1417,11.20,3301,26.08,7681,60.69
02.03.2008,Республика Бурятия,Джидинская,22278,19634,0,14583,1564,3486,1564,14583,280,15867,485,285,106,200,2,1,0,0,0,98,0.61,1079,6.68,3347,20.73,11343,70.25
02.03.2008,Республика Бурятия,Еравнинская,11230,10833,179,7799,748,2107,927,7799,101,8625,299,189,154,110,1,0,0,0,0,58,0.66,454,5.20,1270,14.55,6843,78.42
02.03.2008,Республика Бурятия,Заиграевская,37331,36122,0,19999,3085,13038,3085,19994,300,22779,1095,642,324,453,5,0,0,0,0,228,0.99,2101,9.10,4427,19.18,16023,69.43
02.03.2008,Республика Бурятия,Закаменская,18762,19047,678,12891,1666,3812,2344,12891,225,15010,679,679,181,0,21,0,0,0,0,102,0.67,617,4.05,2316,15.20,11975,78.60
02.03.2008,Республика Бурятия,Иволгинская,17803,20413,0,13543,1108,5762,1108,13543,203,14448,675,652,315,23,5,0,0,0,0,171,1.17,1112,7.59,2638,18.01,10527,71.85
02.03.2008,Республика Бурятия,Кабанская,45218,42636,0,26780,2611,13245,2610,26774,469,28915,1206,492,292,714,6,0,0,0,0,239,0.81,3325,11.32,5785,19.69,19566,66.59
02.03.2008,Республика Бурятия,Кижингинская,11428,11590,0,9589,822,1179,822,9589,96,10315,323,247,82,76,7,0,0,0,0,66,0.63,368,3.53,1360,13.06,8521,81.85
02.03.2008,Республика Бурятия,Курумканская,10918,10910,0,6664,1688,2558,1688,6664,78,8274,297,297,108,0,3,0,0,0,0,65,0.78,366,4.38,1171,14.02,6672,79.89
02.03.2008,Республика Бурятия,Кяхтинская,29180,27449,0,19204,1706,6539,1706,19199,333,20572,770,634,350,136,28,0,0,0,0,123,0.59,1722,8.24,2994,14.32,15733,75.26
02.03.2008,Республика Бурятия,Муйская,11504,10300,106,6610,278,3306,384,6610,92,6902,298,118,164,180,2,0,0,0,0,66,0.94,866,12.38,1037,14.83,4933,70.53
02.03.2008,Республика Бурятия,Мухоршибирская,18812,17727,0,11432,1677,4618,1677,11432,147,12962,513,340,126,173,7,0,0,0,0,88,0.67,1063,8.11,2001,15.26,9810,74.83
02.03.2008,Республика Бурятия,Окинская,3935,3871,1168,2395,100,208,1268,2395,98,3565,100,72,80,28,0,0,0,0,0,28,0.76,172,4.70,278,7.59,3087,84.28
02.03.2008,Республика Бурятия,Прибайкальская,20579,20983,0,12384,1715,6884,1715,12383,215,13883,595,421,235,174,5,0,0,0,0,119,0.84,1621,11.50,2362,16.75,9781,69.38
02.03.2008,Республика Бурятия,Северо-Байкальская,12272,11132,52,7656,447,2977,499,7656,101,8054,342,259,98,83,6,0,0,0,0,73,0.90,969,11.88,1213,14.87,5799,71.11
