elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_lost,ballots_number_not_counted,baburin_sergey_nikolaevich_number,baburin_sergey_nikolaevich_percent,grudinin_pavel_nikolaevich_number,grudinin_pavel_nikolaevich_percent,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,vladimir_vladimirovich_putin_number,vladimir_vladimirovich_putin_percent,sobchak_ksenia_anatolyevna_number,sobchak_ksenia_anatolyevna_percent,suraykin_maxim_alexandrovich_number,suraykin_maxim_alexandrovich_percent,titov_boris_yurievich_number,titov_boris_yurievich_percent,yavlinsky_grigory_alekseevich_number,yavlinsky_grigory_alekseevich_percent
18.03.2018,Тамбовская область,Бондарская,9504,9380,0,6452,1096,1832,1096,6450,80,7466,0,0,23,0.30,528,6.99,429,5.69,6399,84.80,38,0.50,32,0.42,9,0.12,8,0.11
18.03.2018,Тамбовская область,Гавриловская,8294,8639,0,5205,1375,2059,1375,5205,26,6554,0,0,20,0.30,355,5.40,246,3.74,5843,88.80,25,0.38,34,0.52,12,0.18,19,0.29
18.03.2018,Тамбовская область,Жердевская,22158,20530,0,14358,2832,3340,2832,14355,191,16996,0,0,65,0.38,1336,7.77,787,4.58,14517,84.47,94,0.55,101,0.59,57,0.33,39,0.23
18.03.2018,Тамбовская область,Знаменская,13931,13900,0,9973,1374,2553,1374,9973,66,11281,0,0,31,0.27,834,7.35,643,5.67,9597,84.58,65,0.57,46,0.41,38,0.33,27,0.24
18.03.2018,Тамбовская область,Инжавинская,17758,17066,0,9861,1650,5555,1651,9860,110,11401,0,0,44,0.38,1584,13.76,626,5.44,8984,78.05,52,0.45,53,0.46,39,0.34,19,0.17
18.03.2018,Тамбовская область,Кирсановская,14250,14260,0,8730,2324,3206,2324,8730,99,10955,0,0,41,0.37,942,8.52,574,5.19,9221,83.42,69,0.62,69,0.62,21,0.19,18,0.16
18.03.2018,Тамбовская область,Кирсановская городская,12257,11750,0,9416,858,1476,858,9415,43,10230,0,0,33,0.32,1190,11.58,374,3.64,8510,82.84,46,0.45,36,0.35,21,0.20,20,0.19
18.03.2018,Тамбовская область,Котовская городская,25245,23075,0,17642,1768,3665,1768,17634,67,19335,0,0,63,0.32,1292,6.66,1298,6.69,16392,84.49,79,0.41,62,0.32,70,0.36,79,0.41
18.03.2018,Тамбовская область,Мичуринская,24634,23789,0,17180,2958,3651,2958,17180,114,20024,0,0,72,0.36,1608,7.98,872,4.33,17274,85.78,74,0.37,65,0.32,27,0.13,32,0.16
18.03.2018,Тамбовская область,Мичуринская городская,67568,63463,0,43218,7045,13200,7043,43129,491,49681,0,0,261,0.52,4793,9.55,2791,5.56,40784,81.29,396,0.79,280,0.56,188,0.37,188,0.37
18.03.2018,Тамбовская область,Мордовская,13997,12882,0,8111,1699,3072,1699,8110,162,9647,0,0,32,0.33,985,10.04,395,4.03,8094,82.52,40,0.41,61,0.62,20,0.20,20,0.20
18.03.2018,Тамбовская область,Моршанская,23908,23535,0,17802,2663,3070,2663,17800,218,20245,0,0,84,0.41,1582,7.73,871,4.26,17349,84.78,112,0.55,115,0.56,75,0.37,57,0.28
18.03.2018,Тамбовская область,Моршанская городская,30949,27800,0,16947,1919,8934,1919,16946,240,18625,0,0,114,0.60,2860,15.16,1217,6.45,13924,73.81,147,0.78,173,0.92,102,0.54,88,0.47
18.03.2018,Тамбовская область,Мучкапская,10930,11800,0,7074,1553,3173,1553,7074,72,8555,0,0,49,0.57,734,8.51,431,4.99,7198,83.44,44,0.51,55,0.64,19,0.22,25,0.29
18.03.2018,Тамбовская область,Никифоровская,15338,14730,0,11727,1516,1487,1515,11725,30,13210,0,0,27,0.20,445,3.36,304,2.30,12333,93.15,34,0.26,35,0.26,18,0.14,14,0.11
