region,region_code
Псковская область,RU-PSK
Республика Калмыкия,RU-KL
город Санкт-Петербург,RU-SPE
Мурманская область,RU-MUR
Кабардино-Балкарская Республика,RU-KB
Новгородская область,RU-NGR
Ульяновская область,RU-ULY
Краснодарский край,RU-KDA
Республика Хакасия,RU-KK
Тульская область,RU-TUL
Астраханская область,RU-AST
Алтайский край,RU-ALT
Владимирская область,RU-VLA
Республика Марий Эл,RU-ME
Белгородская область,RU-BEL
Тверская область,RU-TVE
Республика Башкортостан,RU-BA
Республика Мордовия,RU-MO
Оренбургская область,RU-ORE
Республика Тыва,RU-TY
Ямало-Ненецкий автономный округ,RU-YAN
Республика Татарстан (Татарстан),RU-TA
Ненецкий автономный округ,RU-NEN
Республика Дагестан,RU-DA
Кемеровская область - Кузбасс,RU-KEM
Челябинская область,RU-CHE
Липецкая область,RU-LIP
Республика Алтай,RU-AL
Смоленская область,RU-SMO
Республика Северная Осетия - Алания,RU-SE
Город Байконур (Республика Казахстан),
Курганская область,RU-KGN
Республика Крым,
Саратовская область,RU-SAR
Нижегородская область,RU-NIZ
Волгоградская область,RU-VGG
Забайкальский край,RU-ZAB
Сахалинская область,RU-SAK
Ханты-Мансийский автономный округ - Югра,RU-KHM
Республика Карелия,RU-KR
Ростовская область,RU-ROS
Хабаровский край,RU-KHA
Территория за пределами РФ,
Еврейская автономная область,RU-YEV
Ставропольский край,RU-STA
Чукотский автономный округ,RU-CHU
Рязанская область,RU-RYA
Удмуртская Республика,RU-UD
Пензенская область,RU-PNZ
Республика Бурятия,RU-BU
Самарская область,RU-SAM
Архангельская область,RU-ARK
Республика Адыгея (Адыгея),RU-AD
Карачаево-Черкесская Республика,RU-KC
Амурская область,RU-AMU
Калужская область,RU-KLU
Тюменская область,RU-TYU
Тамбовская область,RU-TAM
Кировская область,RU-KIR
Воронежская область,RU-VOR
Орловская область,RU-ORL
Республика Коми,RU-KO
Ивановская область,RU-IVA
Костромская область,RU-KOS
Вологодская область,RU-VLG
Магаданская область,RU-MAG
Красноярский край,RU-KYA
Новосибирская область,RU-NVS
Республика Ингушетия,RU-IN
город Севастополь,
Калининградская область,RU-KGD
Иркутская область,RU-IRK
Ярославская область,RU-YAR
Чувашская Республика - Чувашия,RU-CU
Омская область,RU-OMS
Курская область,RU-KRS
Пермский край,RU-PER
Свердловская область,RU-SVE
Ленинградская область,RU-LEN
Московская область,RU-MOS
Камчатский край,RU-KAM
Чеченская Республика,RU-CE
Томская область,RU-TOM
город Москва,RU-MOW
Брянская область,RU-BRY
Приморский край,RU-PRI
Республика Саха (Якутия),RU-SA
