candidate,voices,percentage,year
БАБУРИН Сергей Николаевич,479013,0.65,2018
ГРУДИНИН Павел Николаевич,8659206,11.77,2018
ЖИРИНОВСКИЙ Владимир Вольфович,4154985,5.65,2018
ПУТИН Владимир Владимирович,56430712,76.69,2018
СОБЧАК Ксения Анатольевна,1238031,1.68,2018
СУРАЙКИН Максим Александрович,499342,0.68,2018
ТИТОВ Борис Юрьевич,556801,0.76,2018
ЯВЛИНСКИЙ Григорий Алексеевич,769644,1.05,2018
"Зюганов, Геннадий Андреевич",12318353,17.18,2012
"Прохоров, Михаил Дмитриевич",5722508,7.98,2012
"Жириновский, Владимир Вольфович",4458103,6.22,2012
"Миронов, Сергей Михайлович",2763935,3.85,2012
"Путин, Владимир Владимирович",45602075,63.6,2012
